Number_of_throws;	chi2
2683;	1.0001000000e+02
2684;	6.4000000000e+01
2685;	7.4370000000e+01
2686;	1.1106000000e+02
2687;	1.2783000000e+02
2688;	8.5300000000e+01
2689;	1.0587000000e+02
2690;	1.2275000000e+02
2691;	1.0149000000e+02
2692;	9.7820000000e+01
2693;	8.5480000000e+01
2694;	1.0555000000e+02
2695;	1.0404000000e+02
2696;	1.1271000000e+02
2697;	8.3150000000e+01
2698;	9.5780000000e+01
2699;	9.8590000000e+01
2700;	1.1324000000e+02
2701;	8.3470000000e+01
2702;	1.0545000000e+02
2703;	8.6980000000e+01
2704;	1.0057000000e+02
2705;	1.1972000000e+02
2706;	9.6090000000e+01
2707;	8.0110000000e+01
2708;	7.4780000000e+01
2709;	1.2950000000e+02
2710;	8.2530000000e+01
2711;	1.0842000000e+02
2712;	1.0268000000e+02
2713;	6.7650000000e+01
2714;	8.3470000000e+01
2715;	9.1390000000e+01
2716;	1.1237000000e+02
2717;	1.0992000000e+02
2718;	8.7770000000e+01
2719;	1.2606000000e+02
2720;	9.2550000000e+01
2721;	1.0497000000e+02
2722;	9.3720000000e+01
2723;	6.4710000000e+01
2724;	1.0845000000e+02
2725;	9.9590000000e+01
2726;	8.9100000000e+01
2727;	8.6820000000e+01
2728;	7.7370000000e+01
2729;	1.0012000000e+02
2730;	8.0280000000e+01
2731;	8.8300000000e+01
2732;	9.8060000000e+01
2733;	9.2270000000e+01
2734;	1.0034000000e+02
2735;	9.7670000000e+01
2736;	9.6720000000e+01
2737;	1.4154000000e+02
2738;	1.1557000000e+02
2739;	1.2926000000e+02
2740;	9.9150000000e+01
2741;	1.0168000000e+02
2742;	1.1567000000e+02
2743;	1.1350000000e+02
2744;	1.2145000000e+02
2745;	1.2879000000e+02
2746;	8.6250000000e+01
2747;	1.0917000000e+02
2748;	1.0193000000e+02
2749;	1.2998000000e+02
2750;	9.5820000000e+01
2751;	1.0418000000e+02
2752;	1.0919000000e+02
2753;	6.9730000000e+01
2754;	1.1207000000e+02
2755;	9.5580000000e+01
2756;	1.1461000000e+02
2757;	1.1060000000e+02
2758;	1.1057000000e+02
2759;	8.9600000000e+01
2760;	1.0927000000e+02
2761;	9.0030000000e+01
2762;	8.3130000000e+01
2763;	9.9580000000e+01
2764;	1.1053000000e+02
2765;	1.1330000000e+02
2766;	1.1698000000e+02
2767;	9.7320000000e+01
2768;	1.0405000000e+02
2769;	9.8340000000e+01
2770;	1.0248000000e+02
2771;	1.3499000000e+02
2772;	1.0175000000e+02
2773;	8.7060000000e+01
2774;	9.0330000000e+01
2775;	1.1142000000e+02
2776;	7.8690000000e+01
2777;	9.3740000000e+01
2778;	8.8850000000e+01
2779;	9.6220000000e+01
2780;	1.1660000000e+02
2781;	1.0191000000e+02
2782;	8.7550000000e+01
2783;	1.0621000000e+02
2784;	1.0923000000e+02
2785;	8.5400000000e+01
2786;	1.1298000000e+02
2787;	9.4010000000e+01
2788;	1.3799000000e+02
2789;	9.5070000000e+01
2790;	9.6420000000e+01
2791;	1.1756000000e+02
2792;	1.1311000000e+02
2793;	9.2140000000e+01
2794;	1.1742000000e+02
2795;	1.0089000000e+02
2796;	7.9630000000e+01
2797;	9.0230000000e+01
2798;	1.0500000000e+02
2799;	1.2369000000e+02
2800;	1.0603000000e+02
2801;	9.0600000000e+01
2802;	1.0412000000e+02
2803;	1.0175000000e+02
2804;	1.0275000000e+02
2805;	1.1269000000e+02
2806;	9.4590000000e+01
2807;	9.5980000000e+01
2808;	1.0331000000e+02
2809;	9.4280000000e+01
2810;	9.0420000000e+01
2811;	1.4639000000e+02
2812;	9.1690000000e+01
2813;	8.7300000000e+01
2814;	7.6730000000e+01
2815;	1.0687000000e+02
2816;	7.0520000000e+01
2817;	8.8490000000e+01
2818;	1.3342000000e+02
2819;	9.3540000000e+01
2820;	1.1468000000e+02
2821;	9.3730000000e+01
2822;	8.9470000000e+01
2823;	5.6560000000e+01
2824;	1.0514000000e+02
2825;	1.1896000000e+02
2826;	1.1370000000e+02
2827;	1.0616000000e+02
2828;	9.1850000000e+01
2829;	9.7760000000e+01
2830;	8.7890000000e+01
2831;	8.9110000000e+01
2832;	7.2210000000e+01
2833;	9.1910000000e+01
2834;	1.0287000000e+02
2835;	1.0280000000e+02
2836;	9.4160000000e+01
2837;	9.2380000000e+01
2838;	1.0889000000e+02
2839;	9.0620000000e+01
2840;	8.7090000000e+01
2841;	9.3970000000e+01
2842;	9.9950000000e+01
2843;	9.8030000000e+01
2844;	9.1610000000e+01
2845;	8.8350000000e+01
2846;	7.6440000000e+01
2847;	1.1356000000e+02
2848;	1.1455000000e+02
2849;	1.1693000000e+02
2850;	8.5580000000e+01
2851;	9.1310000000e+01
2852;	1.0054000000e+02
2853;	1.2891000000e+02
2854;	1.0665000000e+02
2855;	1.0268000000e+02
2856;	9.1830000000e+01
2857;	9.0620000000e+01
2858;	9.1620000000e+01
2859;	9.5070000000e+01
2860;	1.0231000000e+02
2861;	8.5180000000e+01
2862;	1.0598000000e+02
2863;	1.3194000000e+02
2864;	1.1569000000e+02
2865;	1.2558000000e+02
2866;	6.9630000000e+01
2867;	9.1180000000e+01
2868;	1.1041000000e+02
2869;	9.7750000000e+01
2870;	1.2826000000e+02
2871;	1.0077000000e+02
2872;	9.2140000000e+01
2873;	9.2600000000e+01
2874;	1.3117000000e+02
2875;	8.5880000000e+01
2876;	8.4800000000e+01
2877;	1.1290000000e+02
2878;	1.2037000000e+02
2879;	9.3480000000e+01
2880;	8.4920000000e+01
2881;	9.9060000000e+01
2882;	1.0147000000e+02
2883;	9.4120000000e+01
2884;	9.4730000000e+01
2885;	6.9340000000e+01
2886;	9.8540000000e+01
2887;	1.0554000000e+02
2888;	9.9400000000e+01
2889;	1.2109000000e+02
2890;	1.1163000000e+02
2891;	1.1040000000e+02
2892;	1.1459000000e+02
2893;	1.0201000000e+02
2894;	8.6390000000e+01
2895;	8.1340000000e+01
2896;	8.6190000000e+01
2897;	1.3675000000e+02
2898;	9.8670000000e+01
2899;	9.7060000000e+01
2900;	1.0141000000e+02
2901;	7.9640000000e+01
2902;	9.5710000000e+01
2903;	8.7510000000e+01
2904;	9.9680000000e+01
2905;	9.9840000000e+01
2906;	1.1745000000e+02
2907;	8.1490000000e+01
2908;	1.1236000000e+02
2909;	8.1040000000e+01
2910;	1.4181000000e+02
2911;	9.3570000000e+01
2912;	1.0973000000e+02
2913;	1.0489000000e+02
2914;	8.6180000000e+01
2915;	1.0303000000e+02
2916;	1.1869000000e+02
2917;	9.7830000000e+01
2918;	1.4911000000e+02
2919;	8.5930000000e+01
2920;	8.9300000000e+01
2921;	9.5580000000e+01
2922;	8.6050000000e+01
2923;	9.2300000000e+01
2924;	1.1596000000e+02
2925;	9.4160000000e+01
2926;	1.2589000000e+02
2927;	7.5260000000e+01
2928;	9.9370000000e+01
2929;	1.0375000000e+02
2930;	8.6650000000e+01
2931;	8.6780000000e+01
2932;	7.0790000000e+01
2933;	1.0474000000e+02
2934;	8.0900000000e+01
2935;	1.2161000000e+02
2936;	9.0780000000e+01
2937;	8.8320000000e+01
2938;	1.1653000000e+02
2939;	8.3240000000e+01
2940;	8.3080000000e+01
2941;	8.2070000000e+01
2942;	8.0300000000e+01
2943;	1.1214000000e+02
2944;	7.4330000000e+01
2945;	9.2810000000e+01
2946;	1.1939000000e+02
2947;	7.4660000000e+01
2948;	1.0322000000e+02
2949;	7.7790000000e+01
2950;	7.4020000000e+01
2951;	8.8040000000e+01
2952;	1.0886000000e+02
2953;	7.9920000000e+01
2954;	1.0196000000e+02
2955;	9.9820000000e+01
2956;	1.0094000000e+02
2957;	1.0713000000e+02
2958;	9.9320000000e+01
2959;	9.4890000000e+01
2960;	8.5400000000e+01
2961;	7.0500000000e+01
2962;	1.0514000000e+02
2963;	1.0925000000e+02
2964;	7.3880000000e+01
2965;	8.2230000000e+01
2966;	8.7300000000e+01
2967;	1.1337000000e+02
2968;	1.0981000000e+02
2969;	1.0758000000e+02
2970;	1.3442000000e+02
2971;	1.1081000000e+02
2972;	1.0984000000e+02
2973;	8.3960000000e+01
2974;	8.2030000000e+01
2975;	1.1705000000e+02
2976;	1.3527000000e+02
2977;	9.0150000000e+01
2978;	1.1500000000e+02
2979;	9.2790000000e+01
2980;	1.0647000000e+02
2981;	1.2758000000e+02
2982;	1.0041000000e+02
2983;	1.0474000000e+02
2984;	1.0266000000e+02
2985;	1.2710000000e+02
2986;	7.5580000000e+01
2987;	9.7370000000e+01
2988;	9.6140000000e+01
2989;	8.3050000000e+01
2990;	1.2564000000e+02
2991;	9.1920000000e+01
2992;	9.6540000000e+01
2993;	8.6760000000e+01
2994;	1.0918000000e+02
2995;	9.6900000000e+01
2996;	8.1630000000e+01
2997;	8.3120000000e+01
2998;	9.6750000000e+01
2999;	9.2480000000e+01
3000;	1.1542000000e+02
3001;	1.0720000000e+02
3002;	9.7740000000e+01
3003;	7.9930000000e+01
3004;	1.3360000000e+02
3005;	8.4030000000e+01
3006;	8.9840000000e+01
3007;	1.0933000000e+02
3008;	1.0859000000e+02
3009;	1.1259000000e+02
3010;	7.6750000000e+01
3011;	1.0445000000e+02
3012;	8.6660000000e+01
3013;	9.0420000000e+01
3014;	9.7620000000e+01
3015;	9.3980000000e+01
3016;	6.9220000000e+01
3017;	8.3220000000e+01
3018;	1.3053000000e+02
3019;	1.0658000000e+02
3020;	1.0688000000e+02
3021;	7.7120000000e+01
3022;	1.0174000000e+02
3023;	1.0282000000e+02
3024;	9.6930000000e+01
3025;	9.2490000000e+01
3026;	1.0494000000e+02
3027;	1.0049000000e+02
3028;	7.8230000000e+01
3029;	1.0337000000e+02
3030;	9.8070000000e+01
3031;	9.7470000000e+01
3032;	9.7400000000e+01
3033;	9.9490000000e+01
3034;	1.1124000000e+02
3035;	1.0523000000e+02
3036;	1.3192000000e+02
3037;	8.3630000000e+01
3038;	9.4420000000e+01
3039;	9.8530000000e+01
3040;	1.0015000000e+02
3041;	8.2860000000e+01
3042;	8.6180000000e+01
3043;	1.1494000000e+02
3044;	9.2070000000e+01
3045;	9.7370000000e+01
3046;	1.2183000000e+02
3047;	9.5850000000e+01
3048;	8.7710000000e+01
3049;	1.0517000000e+02
3050;	1.1276000000e+02
3051;	7.2240000000e+01
3052;	1.0277000000e+02
3053;	1.1429000000e+02
3054;	1.0077000000e+02
3055;	7.7960000000e+01
3056;	1.1104000000e+02
3057;	1.1278000000e+02
3058;	9.8930000000e+01
3059;	1.0741000000e+02
3060;	8.6050000000e+01
3061;	1.0674000000e+02
3062;	1.1887000000e+02
3063;	8.7670000000e+01
3064;	1.3319000000e+02
3065;	9.9610000000e+01
3066;	1.0433000000e+02
3067;	1.2003000000e+02
3068;	9.4800000000e+01
3069;	7.8130000000e+01
3070;	1.1384000000e+02
3071;	9.3490000000e+01
3072;	9.8630000000e+01
3073;	9.7300000000e+01
3074;	9.4320000000e+01
3075;	9.4800000000e+01
3076;	7.5770000000e+01
3077;	8.8760000000e+01
3078;	7.0710000000e+01
3079;	9.3110000000e+01
3080;	1.0546000000e+02
3081;	9.5970000000e+01
3082;	8.6750000000e+01
3083;	7.2570000000e+01
3084;	1.2131000000e+02
3085;	1.1361000000e+02
3086;	8.7310000000e+01
3087;	1.1516000000e+02
3088;	1.3052000000e+02
3089;	9.7980000000e+01
3090;	8.4840000000e+01
3091;	1.3266000000e+02
3092;	1.3040000000e+02
3093;	1.1048000000e+02
3094;	7.1050000000e+01
3095;	8.1380000000e+01
3096;	8.7440000000e+01
3097;	1.2472000000e+02
3098;	9.0410000000e+01
3099;	1.1649000000e+02
3100;	8.9540000000e+01
3101;	9.9000000000e+01
3102;	1.0497000000e+02
3103;	8.6070000000e+01
3104;	9.2570000000e+01
3105;	9.1830000000e+01
3106;	9.2840000000e+01
3107;	1.0498000000e+02
3108;	8.8680000000e+01
3109;	9.9110000000e+01
3110;	9.2950000000e+01
3111;	1.0508000000e+02
3112;	8.7410000000e+01
3113;	6.7360000000e+01
3114;	8.5610000000e+01
3115;	1.1450000000e+02
3116;	1.0893000000e+02
3117;	8.5950000000e+01
3118;	1.1620000000e+02
3119;	9.6280000000e+01
3120;	9.9360000000e+01
3121;	8.0670000000e+01
3122;	1.0953000000e+02
3123;	1.1465000000e+02
3124;	9.0200000000e+01
3125;	1.2445000000e+02
3126;	1.0714000000e+02
3127;	9.7680000000e+01
3128;	9.6310000000e+01
3129;	8.4830000000e+01
3130;	1.0210000000e+02
3131;	9.4350000000e+01
3132;	1.1717000000e+02
3133;	7.1240000000e+01
3134;	8.7960000000e+01
3135;	1.0905000000e+02
3136;	1.0419000000e+02
3137;	1.0894000000e+02
3138;	9.0590000000e+01
3139;	9.7390000000e+01
3140;	1.0941000000e+02
3141;	1.2381000000e+02
3142;	9.9630000000e+01
3143;	9.4570000000e+01
3144;	1.0291000000e+02
3145;	9.1900000000e+01
3146;	1.0093000000e+02
3147;	1.1531000000e+02
3148;	8.5940000000e+01
3149;	1.0669000000e+02
3150;	9.4730000000e+01
3151;	9.4400000000e+01
3152;	1.0769000000e+02
3153;	1.1704000000e+02
3154;	1.0624000000e+02
3155;	9.6880000000e+01
3156;	1.1679000000e+02
3157;	9.5080000000e+01
3158;	1.1657000000e+02
3159;	1.0363000000e+02
3160;	1.0837000000e+02
3161;	9.6770000000e+01
3162;	9.0900000000e+01
3163;	1.0765000000e+02
3164;	8.9680000000e+01
3165;	1.0423000000e+02
3166;	1.0412000000e+02
3167;	8.1470000000e+01
3168;	8.7290000000e+01
3169;	1.1700000000e+02
3170;	7.5280000000e+01
3171;	8.2110000000e+01
3172;	8.9910000000e+01
3173;	1.0832000000e+02
3174;	8.9780000000e+01
3175;	9.1160000000e+01
3176;	9.2060000000e+01
3177;	9.6850000000e+01
3178;	1.0925000000e+02
3179;	7.9830000000e+01
3180;	1.1487000000e+02
3181;	1.2656000000e+02
3182;	8.2920000000e+01
3183;	1.1802000000e+02
3184;	7.9160000000e+01
3185;	1.0809000000e+02
3186;	9.8150000000e+01
3187;	9.0780000000e+01
3188;	9.1220000000e+01
3189;	7.3990000000e+01
3190;	1.0715000000e+02
3191;	1.1029000000e+02
3192;	1.0962000000e+02
3193;	9.6520000000e+01
3194;	8.8560000000e+01
3195;	9.5620000000e+01
3196;	1.0270000000e+02
3197;	8.7640000000e+01
3198;	1.0262000000e+02
3199;	1.1537000000e+02
3200;	1.1828000000e+02
3201;	1.0203000000e+02
3202;	7.8060000000e+01
3203;	8.0120000000e+01
3204;	1.2563000000e+02
3205;	1.3034000000e+02
3206;	8.9530000000e+01
3207;	9.8130000000e+01
3208;	8.3450000000e+01
3209;	9.5400000000e+01
3210;	9.9970000000e+01
3211;	8.2980000000e+01
3212;	9.3010000000e+01
3213;	8.9960000000e+01
3214;	9.7270000000e+01
3215;	1.0201000000e+02
3216;	8.4700000000e+01
3217;	1.0805000000e+02
3218;	9.2680000000e+01
3219;	7.5820000000e+01
3220;	9.8570000000e+01
3221;	1.0586000000e+02
3222;	9.6030000000e+01
3223;	1.1155000000e+02
3224;	8.3330000000e+01
3225;	9.9460000000e+01
3226;	8.7060000000e+01
3227;	9.2240000000e+01
3228;	8.8080000000e+01
3229;	9.0900000000e+01
3230;	8.6640000000e+01
3231;	1.0933000000e+02
3232;	1.2101000000e+02
3233;	1.0460000000e+02
3234;	8.0970000000e+01
3235;	1.1845000000e+02
3236;	8.0600000000e+01
3237;	9.1390000000e+01
3238;	8.0650000000e+01
3239;	9.1860000000e+01
3240;	1.2081000000e+02
3241;	9.4580000000e+01
3242;	1.1706000000e+02
3243;	1.0887000000e+02
3244;	1.0803000000e+02
3245;	1.1134000000e+02
3246;	1.0466000000e+02
3247;	1.1300000000e+02
3248;	8.1860000000e+01
3249;	1.0797000000e+02
3250;	1.2818000000e+02
3251;	1.3569000000e+02
3252;	9.8780000000e+01
3253;	9.2020000000e+01
3254;	1.0219000000e+02
3255;	1.0585000000e+02
3256;	1.0731000000e+02
3257;	9.3600000000e+01
3258;	9.4670000000e+01
3259;	9.1700000000e+01
3260;	8.5990000000e+01
3261;	1.1080000000e+02
3262;	1.0623000000e+02
3263;	9.4230000000e+01
3264;	9.1490000000e+01
3265;	1.0163000000e+02
3266;	8.8000000000e+01
3267;	7.9810000000e+01
3268;	8.6680000000e+01
3269;	1.3362000000e+02
3270;	8.8760000000e+01
3271;	9.2010000000e+01
3272;	9.8590000000e+01
3273;	7.3070000000e+01
3274;	9.9030000000e+01
3275;	8.6020000000e+01
3276;	1.0310000000e+02
3277;	8.0370000000e+01
3278;	1.0363000000e+02
3279;	1.0228000000e+02
3280;	1.2133000000e+02
3281;	1.2079000000e+02
3282;	1.1443000000e+02
3283;	9.2220000000e+01
3284;	1.0315000000e+02
3285;	1.0289000000e+02
3286;	1.1224000000e+02
3287;	8.5370000000e+01
3288;	1.0981000000e+02
3289;	1.1724000000e+02
3290;	1.0091000000e+02
3291;	9.2090000000e+01
3292;	1.0523000000e+02
3293;	1.2318000000e+02
3294;	1.2799000000e+02
3295;	1.1883000000e+02
3296;	1.2514000000e+02
3297;	1.0737000000e+02
3298;	1.1685000000e+02
3299;	1.1875000000e+02
3300;	8.9980000000e+01
3301;	1.0041000000e+02
3302;	7.7010000000e+01
3303;	1.1773000000e+02
3304;	8.0820000000e+01
3305;	8.1350000000e+01
3306;	1.0521000000e+02
3307;	9.1540000000e+01
3308;	7.2560000000e+01
3309;	1.1170000000e+02
3310;	1.1221000000e+02
3311;	8.1360000000e+01
3312;	1.1712000000e+02
3313;	7.4180000000e+01
3314;	9.0910000000e+01
3315;	1.0091000000e+02
3316;	1.0018000000e+02
3317;	9.4630000000e+01
3318;	8.3200000000e+01
3319;	9.3630000000e+01
3320;	1.0692000000e+02
3321;	8.5430000000e+01
3322;	8.3730000000e+01
3323;	8.2300000000e+01
3324;	9.1450000000e+01
3325;	1.1308000000e+02
3326;	8.9450000000e+01
3327;	9.7630000000e+01
3328;	1.1784000000e+02
3329;	8.2200000000e+01
3330;	1.2236000000e+02
3331;	1.1697000000e+02
3332;	8.8820000000e+01
3333;	7.6590000000e+01
3334;	9.6180000000e+01
3335;	1.0170000000e+02
3336;	1.1045000000e+02
3337;	1.0573000000e+02
3338;	8.3980000000e+01
3339;	8.6520000000e+01
3340;	8.8510000000e+01
3341;	8.5850000000e+01
3342;	8.2970000000e+01
3343;	1.0413000000e+02
3344;	1.1744000000e+02
3345;	7.1550000000e+01
3346;	8.3530000000e+01
3347;	8.6450000000e+01
3348;	8.6560000000e+01
3349;	9.5910000000e+01
3350;	9.2570000000e+01
3351;	9.8320000000e+01
3352;	1.0862000000e+02
3353;	1.1669000000e+02
3354;	1.2573000000e+02
3355;	8.7590000000e+01
3356;	8.0470000000e+01
3357;	7.2460000000e+01
3358;	1.0653000000e+02
3359;	9.9180000000e+01
3360;	9.6080000000e+01
3361;	1.1745000000e+02
3362;	1.1909000000e+02
3363;	8.0810000000e+01
3364;	8.9790000000e+01
3365;	8.4830000000e+01
3366;	9.7750000000e+01
3367;	9.6080000000e+01
3368;	7.8110000000e+01
3369;	1.0774000000e+02
3370;	8.1800000000e+01
3371;	9.1200000000e+01
3372;	1.0044000000e+02
3373;	1.1345000000e+02
3374;	1.1127000000e+02
3375;	1.0439000000e+02
3376;	9.5080000000e+01
3377;	1.1228000000e+02
3378;	1.0400000000e+02
3379;	1.0203000000e+02
3380;	1.0694000000e+02
3381;	7.9790000000e+01
3382;	9.5680000000e+01
3383;	1.0669000000e+02
3384;	1.1862000000e+02
3385;	9.9810000000e+01
3386;	1.4790000000e+02
3387;	8.6040000000e+01
3388;	9.8340000000e+01
3389;	1.0217000000e+02
3390;	7.7060000000e+01
3391;	1.0718000000e+02
3392;	1.3286000000e+02
3393;	9.9080000000e+01
3394;	1.1110000000e+02
3395;	6.8770000000e+01
3396;	1.1452000000e+02
3397;	1.1695000000e+02
3398;	1.0837000000e+02
3399;	1.1038000000e+02
3400;	7.5200000000e+01
3401;	1.1136000000e+02
3402;	8.0060000000e+01
3403;	1.0421000000e+02
3404;	1.0004000000e+02
3405;	1.0527000000e+02
3406;	7.9260000000e+01
3407;	8.9550000000e+01
3408;	9.8780000000e+01
3409;	8.9900000000e+01
3410;	9.7920000000e+01
3411;	9.5270000000e+01
3412;	1.0533000000e+02
3413;	8.5420000000e+01
3414;	9.8760000000e+01
3415;	1.0302000000e+02
3416;	1.0143000000e+02
3417;	9.6410000000e+01
3418;	1.0698000000e+02
3419;	9.8760000000e+01
3420;	8.1240000000e+01
3421;	1.1546000000e+02
3422;	8.3420000000e+01
3423;	1.0696000000e+02
3424;	1.2161000000e+02
3425;	1.0004000000e+02
3426;	9.3560000000e+01
3427;	1.1633000000e+02
3428;	9.7150000000e+01
3429;	8.3660000000e+01
3430;	8.0590000000e+01
3431;	1.0151000000e+02
3432;	7.5980000000e+01
3433;	8.5320000000e+01
3434;	9.3800000000e+01
3435;	8.6480000000e+01
3436;	1.2053000000e+02
3437;	1.0208000000e+02
3438;	9.1160000000e+01
3439;	1.0501000000e+02
3440;	8.9180000000e+01
3441;	9.0540000000e+01
3442;	7.6100000000e+01
3443;	9.5410000000e+01
3444;	1.1618000000e+02
3445;	9.9160000000e+01
3446;	1.2118000000e+02
3447;	1.1872000000e+02
3448;	1.0849000000e+02
3449;	9.5460000000e+01
3450;	1.2113000000e+02
3451;	1.0129000000e+02
3452;	8.8720000000e+01
3453;	7.7970000000e+01
3454;	7.3380000000e+01
3455;	9.3080000000e+01
3456;	1.0969000000e+02
3457;	1.0697000000e+02
3458;	9.7920000000e+01
3459;	8.4110000000e+01
3460;	8.9230000000e+01
3461;	1.0441000000e+02
3462;	1.0218000000e+02
3463;	1.2054000000e+02
3464;	8.4670000000e+01
3465;	1.1286000000e+02
3466;	9.4190000000e+01
3467;	9.4090000000e+01
3468;	1.0530000000e+02
3469;	9.0960000000e+01
3470;	1.0521000000e+02
3471;	1.0453000000e+02
3472;	1.0064000000e+02
3473;	9.7050000000e+01
3474;	1.0835000000e+02
3475;	8.0460000000e+01
3476;	1.0603000000e+02
3477;	1.1008000000e+02
3478;	9.9150000000e+01
3479;	9.8800000000e+01
3480;	8.3940000000e+01
3481;	1.0195000000e+02
3482;	1.0035000000e+02
3483;	1.0412000000e+02
3484;	9.1430000000e+01
3485;	9.6880000000e+01
3486;	9.6080000000e+01
3487;	1.0409000000e+02
3488;	1.1726000000e+02
3489;	1.1590000000e+02
3490;	1.0799000000e+02
3491;	9.8440000000e+01
3492;	8.4630000000e+01
3493;	9.3300000000e+01
3494;	8.4240000000e+01
3495;	1.0444000000e+02
3496;	1.1639000000e+02
3497;	1.2623000000e+02
3498;	9.2220000000e+01
3499;	1.2227000000e+02
3500;	9.9590000000e+01
3501;	1.2044000000e+02
3502;	8.8350000000e+01
3503;	1.3333000000e+02
3504;	9.7040000000e+01
3505;	9.2000000000e+01
3506;	8.9770000000e+01
3507;	7.6480000000e+01
3508;	8.4220000000e+01
3509;	7.1050000000e+01
3510;	9.1070000000e+01
3511;	9.8430000000e+01
3512;	7.9220000000e+01
3513;	1.0591000000e+02
3514;	8.2170000000e+01
3515;	1.0714000000e+02
3516;	1.1397000000e+02
3517;	1.0442000000e+02
3518;	8.6160000000e+01
3519;	1.0659000000e+02
3520;	1.0870000000e+02
3521;	9.6000000000e+01
3522;	9.2690000000e+01
3523;	8.5860000000e+01
3524;	7.9360000000e+01
3525;	8.2730000000e+01
3526;	8.2530000000e+01
3527;	8.9410000000e+01
3528;	9.3240000000e+01
3529;	9.0520000000e+01
3530;	1.1276000000e+02
3531;	1.2015000000e+02
3532;	1.1161000000e+02
3533;	8.3600000000e+01
3534;	1.1455000000e+02
3535;	7.5680000000e+01
3536;	8.2000000000e+01
3537;	1.0954000000e+02
3538;	1.0275000000e+02
3539;	9.6340000000e+01
3540;	1.1467000000e+02
3541;	8.1760000000e+01
3542;	1.0694000000e+02
3543;	1.1013000000e+02
3544;	8.8880000000e+01
3545;	6.2690000000e+01
3546;	8.0230000000e+01
3547;	1.1995000000e+02
3548;	1.0098000000e+02
3549;	8.4380000000e+01
3550;	1.1364000000e+02
3551;	1.0540000000e+02
3552;	1.2407000000e+02
3553;	9.8290000000e+01
3554;	8.8960000000e+01
3555;	9.6480000000e+01
3556;	1.1891000000e+02
3557;	8.6860000000e+01
3558;	7.4870000000e+01
3559;	9.0330000000e+01
3560;	9.9500000000e+01
3561;	9.6470000000e+01
3562;	9.8200000000e+01
3563;	9.1610000000e+01
3564;	9.3650000000e+01
3565;	1.1570000000e+02
3566;	8.4580000000e+01
3567;	9.0390000000e+01
3568;	8.1360000000e+01
3569;	1.1173000000e+02
3570;	9.5170000000e+01
3571;	8.3960000000e+01
3572;	8.8650000000e+01
3573;	9.3660000000e+01
3574;	8.4520000000e+01
3575;	1.0079000000e+02
3576;	8.8280000000e+01
3577;	9.2150000000e+01
3578;	1.0564000000e+02
3579;	7.3070000000e+01
3580;	8.8140000000e+01
3581;	9.3350000000e+01
3582;	8.1960000000e+01
3583;	1.1882000000e+02
3584;	1.2216000000e+02
3585;	1.1493000000e+02
3586;	1.0586000000e+02
3587;	9.1940000000e+01
3588;	8.4270000000e+01
3589;	8.8430000000e+01
3590;	8.6810000000e+01
3591;	8.9080000000e+01
3592;	1.0155000000e+02
3593;	9.7860000000e+01
3594;	1.2781000000e+02
3595;	7.1770000000e+01
3596;	8.3700000000e+01
3597;	1.1728000000e+02
3598;	9.0500000000e+01
3599;	1.1520000000e+02
3600;	1.1320000000e+02
3601;	9.6810000000e+01
3602;	1.2082000000e+02
3603;	9.9830000000e+01
3604;	1.0727000000e+02
3605;	9.2360000000e+01
3606;	8.2640000000e+01
3607;	1.0428000000e+02
3608;	1.1031000000e+02
3609;	1.1215000000e+02
3610;	8.9780000000e+01
3611;	1.1607000000e+02
3612;	1.1396000000e+02
3613;	7.9870000000e+01
3614;	9.0150000000e+01
3615;	1.0921000000e+02
3616;	1.0138000000e+02
3617;	1.0852000000e+02
3618;	9.6150000000e+01
3619;	1.0645000000e+02
3620;	8.9240000000e+01
3621;	9.8740000000e+01
3622;	1.0167000000e+02
3623;	8.9010000000e+01
3624;	1.1613000000e+02
3625;	1.1647000000e+02
3626;	6.7390000000e+01
3627;	1.2516000000e+02
3628;	7.4630000000e+01
3629;	1.0093000000e+02
3630;	1.0738000000e+02
3631;	9.4650000000e+01
3632;	8.8720000000e+01
3633;	9.4180000000e+01
3634;	1.0802000000e+02
3635;	8.5930000000e+01
3636;	1.0137000000e+02
3637;	8.4640000000e+01
3638;	9.6600000000e+01
3639;	1.0081000000e+02
3640;	8.8990000000e+01
3641;	1.1614000000e+02
3642;	1.0394000000e+02
3643;	7.8110000000e+01
3644;	9.3960000000e+01
3645;	9.5780000000e+01
3646;	1.1897000000e+02
3647;	8.4620000000e+01
3648;	1.3387000000e+02
3649;	8.5890000000e+01
3650;	9.9150000000e+01
3651;	8.2860000000e+01
3652;	1.0582000000e+02
3653;	9.6670000000e+01
3654;	9.7810000000e+01
3655;	8.6920000000e+01
3656;	8.5990000000e+01
3657;	8.5160000000e+01
3658;	1.0589000000e+02
3659;	1.0139000000e+02
3660;	8.3050000000e+01
3661;	1.0439000000e+02
3662;	1.0803000000e+02
3663;	7.8350000000e+01
3664;	7.0380000000e+01
3665;	9.3880000000e+01
3666;	1.1315000000e+02
3667;	1.0879000000e+02
3668;	1.0184000000e+02
3669;	1.0443000000e+02
3670;	1.0744000000e+02
3671;	1.1216000000e+02
3672;	9.9260000000e+01
3673;	9.6300000000e+01
3674;	8.3450000000e+01
3675;	1.1651000000e+02
3676;	7.6850000000e+01
3677;	1.1227000000e+02
3678;	9.4740000000e+01
3679;	7.5710000000e+01
3680;	5.1600000000e+01
3681;	9.6520000000e+01
