Exp_N=1;	Exp_N=2;	Exp_N=10;	Exp_N=100
9.32979e-01;	1.09633e+00;	7.29757e-01;	1.14438e+00
1.00661e+00;	1.49609e+00;	1.60740e+00;	1.10428e+00
6.29575e-01;	6.96657e-01;	1.17544e+00;	8.09333e-01
2.38045e-01;	1.30195e+00;	1.05694e+00;	9.10839e-01
8.74454e-01;	1.66006e+00;	9.08417e-01;	1.07237e+00
2.11296e+00;	1.20265e+00;	1.02154e+00;	1.09969e+00
2.26642e+00;	1.11554e+00;	1.41472e+00;	9.50436e-01
2.57193e-01;	4.05373e-01;	1.37471e+00;	8.40264e-01
3.48653e-01;	7.22557e-01;	7.91388e-01;	9.36316e-01
7.01710e-01;	3.59984e-01;	8.31876e-01;	1.00373e+00
6.14992e-01;	2.88492e+00;	1.19330e+00;	9.05527e-01
3.86420e-01;	8.10104e-01;	1.07703e+00;	9.33850e-01
1.14393e-01;	3.87262e-01;	1.21702e+00;	1.09104e+00
4.37857e-01;	1.52321e+00;	9.12687e-01;	1.05768e+00
1.42412e-01;	7.36017e-01;	7.12264e-01;	1.02771e+00
4.54059e-01;	1.30619e-01;	6.89438e-01;	8.43985e-01
1.47768e+00;	1.41320e+00;	6.19127e-01;	9.95489e-01
8.05083e-01;	1.27206e+00;	6.75669e-01;	1.01464e+00
2.46801e-01;	6.94394e-01;	5.10080e-01;	1.01313e+00
3.38480e-01;	1.96967e+00;	1.37255e+00;	1.10498e+00
7.88379e-01;	4.09396e-01;	6.92514e-01;	1.10748e+00
5.07736e-01;	1.32227e+00;	1.22674e+00;	7.95356e-01
6.40264e+00;	1.19666e+00;	1.29101e+00;	1.01277e+00
4.69474e-02;	2.59275e-01;	1.91087e+00;	1.10977e+00
1.24428e+00;	1.09998e+00;	7.99772e-01;	1.11042e+00
1.10718e-01;	1.52285e+00;	1.31038e+00;	9.73521e-01
1.72317e+00;	7.99554e-01;	1.04818e+00;	9.43294e-01
2.70891e+00;	1.36410e+00;	7.57046e-01;	1.01943e+00
1.06340e+00;	1.71476e+00;	1.11186e+00;	9.81296e-01
7.95657e-01;	3.46164e-01;	1.61878e+00;	1.11986e+00
6.75249e-01;	1.14130e+00;	1.26270e+00;	1.01302e+00
1.48348e+00;	6.55329e-01;	1.03626e+00;	7.84535e-01
3.11180e-01;	3.11615e-01;	6.09184e-01;	9.95292e-01
8.34894e-01;	1.20255e+00;	1.06469e+00;	8.89198e-01
3.60369e+00;	7.75727e-01;	1.22662e+00;	8.28937e-01
1.18373e+00;	1.21344e+00;	7.05855e-01;	9.55297e-01
6.87097e-01;	2.20109e-01;	1.52335e+00;	8.15064e-01
1.30830e+00;	1.91159e-01;	1.14799e+00;	1.06026e+00
3.45082e-01;	3.98410e-01;	9.75554e-01;	9.21537e-01
3.82723e-02;	1.04080e+00;	1.00892e+00;	1.03495e+00
2.07036e+00;	9.23103e-01;	7.52115e-01;	1.15953e+00
9.76176e-01;	1.77455e+00;	8.59567e-01;	1.12449e+00
1.47396e+00;	1.34236e-01;	9.29189e-01;	1.03342e+00
1.00936e-02;	6.49330e-01;	9.44412e-01;	9.92635e-01
5.08178e-01;	1.07744e+00;	9.01231e-01;	1.10678e+00
1.08624e+00;	9.30004e-01;	1.34313e+00;	1.13952e+00
1.61219e-02;	7.31774e-01;	8.30725e-01;	9.52228e-01
3.61020e-02;	1.71761e+00;	1.24880e+00;	1.05829e+00
8.63254e-03;	8.53372e-01;	1.24659e+00;	1.09837e+00
1.03560e+00;	1.20229e+00;	1.28563e+00;	1.05033e+00
2.04558e+00;	9.96514e-01;	1.06187e+00;	9.96674e-01
1.49792e+00;	7.67500e-01;	1.28436e+00;	9.35904e-01
1.69333e+00;	1.16028e+00;	1.15448e+00;	8.57486e-01
8.88743e-02;	6.40500e-01;	9.56608e-01;	1.09225e+00
2.89794e-01;	7.54375e-01;	1.27179e+00;	8.21117e-01
6.80751e-01;	1.70318e+00;	7.62178e-01;	8.71408e-01
7.84305e-01;	4.72083e-01;	9.63666e-01;	9.01176e-01
9.88842e-01;	8.47956e-01;	7.84529e-01;	1.03864e+00
1.44338e+00;	9.52786e-01;	9.50371e-01;	8.28739e-01
1.35651e-01;	5.97373e-01;	8.22519e-01;	9.53243e-01
2.37572e-01;	1.65185e-01;	7.60653e-01;	9.25827e-01
7.08335e-01;	3.07137e-01;	8.98294e-01;	8.59702e-01
5.11590e-01;	1.17515e-01;	9.63968e-01;	1.09739e+00
1.97043e-01;	1.39117e+00;	1.12540e+00;	9.46540e-01
9.08504e-01;	1.05814e+00;	8.16998e-01;	8.12325e-01
1.86001e-01;	6.18409e-01;	1.08843e+00;	1.05531e+00
1.16261e+00;	4.94739e+00;	1.04490e+00;	8.85447e-01
5.34230e-01;	1.04675e+00;	7.71922e-01;	1.04478e+00
1.26072e+00;	5.36656e-01;	7.35945e-01;	9.69299e-01
4.28658e-01;	5.98577e-01;	1.35835e+00;	1.00285e+00
3.22951e-01;	1.29500e+00;	5.53448e-01;	9.68068e-01
5.99855e-01;	1.41966e+00;	6.96054e-01;	8.10343e-01
4.68778e-01;	3.16277e-01;	8.76951e-01;	9.80503e-01
7.56752e-01;	4.13437e-01;	1.29195e+00;	1.15278e+00
3.06038e-01;	1.13190e+00;	1.49271e+00;	1.13251e+00
1.32776e+00;	6.99878e-01;	6.09050e-01;	1.06009e+00
4.58121e-01;	2.76779e-01;	1.06380e+00;	9.90057e-01
1.85538e+00;	1.72845e+00;	4.57822e-01;	8.99207e-01
1.86110e-01;	9.72358e-01;	8.87082e-01;	8.09943e-01
2.93721e+00;	7.86864e-01;	1.24622e+00;	1.00613e+00
4.89658e-01;	2.61891e+00;	5.87119e-01;	9.51498e-01
2.02280e+00;	9.74935e-01;	4.57419e-01;	9.50458e-01
5.02218e-01;	7.95318e-01;	1.27370e+00;	1.22279e+00
1.60847e+00;	3.43273e-01;	1.12083e+00;	9.59581e-01
4.07190e+00;	1.16938e+00;	1.10785e+00;	6.96507e-01
1.09363e-01;	1.64582e+00;	1.10877e+00;	9.19334e-01
1.10151e+00;	1.68421e+00;	9.33519e-01;	9.97583e-01
1.37637e-01;	8.33134e-01;	9.24260e-01;	9.58128e-01
1.03285e+00;	6.11705e-01;	9.78017e-01;	9.40338e-01
1.87842e-01;	4.46518e-01;	7.50184e-01;	1.07956e+00
1.65713e-01;	1.21414e+00;	1.00255e+00;	9.82255e-01
3.71079e-01;	2.02263e+00;	4.95958e-01;	9.72800e-01
4.77275e-01;	2.40356e-01;	1.11470e+00;	9.61411e-01
1.36218e-01;	1.75232e+00;	1.68636e+00;	1.09067e+00
2.07892e+00;	1.55444e+00;	4.66840e-01;	1.10561e+00
3.75524e-02;	1.35572e+00;	9.90491e-01;	1.01596e+00
2.67724e+00;	1.31147e-01;	1.01614e+00;	1.09497e+00
4.14124e-01;	1.39292e+00;	1.31885e+00;	9.96653e-01
5.92922e-01;	7.47828e-01;	8.68697e-01;	1.06166e+00
4.08332e-01;	8.00489e-01;	8.06491e-01;	1.00940e+00
7.88984e-01;	1.64924e+00;	1.07068e+00;	1.11355e+00
5.61416e-01;	5.58587e-01;	8.79645e-01;	9.49635e-01
2.37613e+00;	3.43756e-01;	1.01514e+00;	8.59746e-01
1.24853e-01;	5.83977e-01;	1.27980e+00;	1.08799e+00
1.46827e-01;	5.94661e-01;	1.21407e+00;	8.57419e-01
1.51297e-01;	1.06471e+00;	9.86286e-01;	9.88200e-01
1.09043e-01;	6.98351e-01;	3.52665e-01;	1.10820e+00
5.52281e-01;	4.63258e-01;	8.80947e-01;	1.00782e+00
1.00455e+00;	2.07175e+00;	6.02325e-01;	1.01577e+00
2.85113e-01;	2.36888e-01;	9.79441e-01;	1.12210e+00
7.00833e-01;	3.61486e-01;	1.28877e+00;	9.64686e-01
6.13398e-01;	1.75295e+00;	1.33523e+00;	1.01825e+00
1.24352e+00;	3.35059e-01;	8.01441e-01;	1.04570e+00
9.13223e-01;	5.04910e-01;	5.79500e-01;	7.68886e-01
1.01696e+00;	7.09302e-01;	1.43152e+00;	1.13300e+00
4.73999e-01;	1.46604e+00;	6.63141e-01;	1.04484e+00
2.03488e-01;	6.05706e-01;	1.48335e+00;	9.10881e-01
2.82698e-02;	3.44006e-01;	1.08775e+00;	9.62896e-01
5.91905e-01;	2.33411e+00;	1.24068e+00;	1.00423e+00
2.10578e-01;	1.47518e+00;	1.25536e+00;	9.52490e-01
1.78174e+00;	4.95323e-01;	1.26472e+00;	9.16311e-01
7.41799e-01;	2.90187e+00;	1.14829e+00;	8.94134e-01
7.11842e-01;	4.36098e-01;	7.82166e-01;	1.03160e+00
1.32000e+00;	1.24772e+00;	1.11756e+00;	7.91671e-01
1.96299e+00;	1.10658e+00;	1.11191e+00;	1.13025e+00
5.74279e-02;	1.09271e+00;	8.06292e-01;	1.04853e+00
9.33055e-02;	9.94343e-02;	1.26010e+00;	9.05315e-01
1.45174e-01;	4.12990e-01;	1.33265e+00;	7.94478e-01
8.67242e-01;	2.11307e+00;	8.16067e-01;	9.70100e-01
8.32549e-01;	5.64775e-01;	1.49621e+00;	1.02008e+00
2.14037e+00;	3.63737e-01;	1.17644e+00;	8.97792e-01
9.05944e-02;	7.24029e-01;	9.49044e-01;	1.07459e+00
1.59121e-01;	1.68596e+00;	9.49578e-01;	9.83039e-01
1.30334e+00;	3.89968e-01;	7.14003e-01;	9.79178e-01
1.38985e+00;	5.11545e-01;	4.65420e-01;	7.69222e-01
1.00108e-01;	1.27132e+00;	8.55633e-01;	1.04395e+00
8.43489e-01;	1.08988e+00;	7.65960e-01;	1.08701e+00
2.78016e-01;	2.53167e+00;	7.61489e-01;	1.01751e+00
8.36622e-02;	1.03214e+00;	8.63901e-01;	1.04419e+00
4.54843e-01;	2.00082e+00;	1.43009e+00;	1.00271e+00
3.60758e+00;	2.45400e+00;	8.84114e-01;	8.76456e-01
4.27973e+00;	3.66513e-01;	1.13644e+00;	9.74193e-01
4.38351e+00;	1.00809e+00;	1.00222e+00;	8.28875e-01
4.47638e-01;	5.68047e-01;	1.26784e+00;	9.28062e-01
1.67948e+00;	9.48106e-01;	1.24662e+00;	1.10862e+00
2.57910e+00;	3.26818e-01;	9.09183e-01;	8.40923e-01
1.48008e+00;	4.89285e-01;	1.02333e+00;	1.01253e+00
1.18628e-01;	2.87853e-01;	1.04991e+00;	1.08617e+00
3.91310e+00;	1.86417e+00;	1.39577e+00;	8.95633e-01
2.71087e+00;	5.82942e-01;	9.99287e-01;	8.31809e-01
1.65625e+00;	4.76245e-01;	1.17541e+00;	9.73616e-01
2.33842e-01;	1.48924e+00;	8.23647e-01;	9.61162e-01
4.38226e-01;	4.57269e-01;	1.36618e+00;	7.75122e-01
1.12330e+00;	2.31061e+00;	1.11258e+00;	9.31223e-01
1.20449e+00;	1.39494e+00;	5.61830e-01;	1.02830e+00
1.26635e+00;	3.72476e-01;	1.25344e+00;	9.03778e-01
4.06343e-01;	1.05232e+00;	7.28833e-01;	1.11472e+00
8.83246e-01;	1.06808e+00;	4.78748e-01;	1.07663e+00
1.65355e+00;	1.86715e-01;	7.99195e-01;	1.06215e+00
2.65350e-01;	1.47128e+00;	1.14089e+00;	1.07994e+00
2.29959e-01;	2.20360e+00;	1.38205e+00;	9.16734e-01
3.57526e-01;	1.81663e-01;	9.21129e-01;	9.70050e-01
3.06651e-01;	1.96075e+00;	1.25063e+00;	9.55868e-01
4.46796e-01;	2.11432e+00;	1.23452e+00;	1.05903e+00
4.26459e-01;	2.03961e+00;	6.40842e-01;	9.31279e-01
5.47096e-02;	6.12223e-01;	1.05600e+00;	1.15499e+00
1.89132e+00;	6.23860e-01;	1.07715e+00;	9.22336e-01
5.11634e-01;	4.77924e-01;	1.13551e+00;	1.10330e+00
6.13818e-01;	5.55527e-01;	1.18868e+00;	1.07315e+00
1.31544e+00;	1.22858e+00;	7.34531e-01;	1.04928e+00
1.05230e+00;	1.44609e+00;	1.52402e+00;	9.10369e-01
1.44779e-01;	1.28696e+00;	1.07812e+00;	1.07311e+00
3.14224e+00;	4.93865e-01;	6.88867e-01;	1.07599e+00
2.86166e-01;	1.13250e+00;	1.29966e+00;	9.61030e-01
6.31931e-01;	1.63496e+00;	7.89198e-01;	1.02433e+00
1.12910e+00;	7.06981e-01;	1.46688e+00;	8.83948e-01
1.05347e-01;	9.52936e-01;	8.68882e-01;	9.54904e-01
1.78052e-01;	7.88944e-01;	7.99975e-01;	8.01392e-01
4.15295e-01;	1.18036e+00;	1.16965e+00;	1.05116e+00
8.91258e-01;	8.74373e-01;	7.73344e-01;	9.24796e-01
1.49508e-01;	3.81111e-01;	1.24963e+00;	9.88756e-01
6.65698e-01;	4.43003e-01;	9.93831e-01;	9.96662e-01
6.45276e-01;	4.90235e-01;	8.39773e-01;	1.05669e+00
5.47803e+00;	4.79830e-01;	9.29931e-01;	9.59247e-01
4.90323e+00;	4.24986e-01;	1.19298e+00;	1.00107e+00
7.80651e-02;	2.25129e-01;	9.56286e-01;	9.78041e-01
1.62681e+00;	6.33034e-01;	5.05329e-01;	8.97456e-01
6.38229e-01;	9.53503e-01;	1.15101e+00;	9.65736e-01
1.24173e+00;	1.50984e+00;	9.47496e-01;	9.94893e-01
3.04942e+00;	1.45508e+00;	1.02418e+00;	1.10868e+00
4.23459e-01;	2.07115e-01;	1.13580e+00;	9.82336e-01
1.95609e-01;	5.95325e-01;	8.25323e-01;	1.08067e+00
1.56019e+00;	1.24088e+00;	1.34039e+00;	9.38928e-01
5.03556e-01;	3.14699e-01;	1.20130e+00;	9.96386e-01
2.48790e-03;	1.08084e+00;	1.00978e+00;	9.22582e-01
7.10490e-02;	3.06946e-01;	1.19351e+00;	1.10242e+00
1.05533e+00;	1.61838e+00;	7.56611e-01;	9.90421e-01
2.24427e-01;	1.35326e+00;	1.35872e+00;	1.11375e+00
3.25871e+00;	1.21390e+00;	1.06192e+00;	1.00478e+00
2.05988e-01;	1.89474e-01;	1.40170e+00;	8.18956e-01
1.14052e-01;	6.87488e-01;	6.92130e-01;	1.06912e+00
1.05169e+00;	2.49049e+00;	6.05521e-01;	1.19879e+00
2.10256e+00;	2.92810e+00;	5.72664e-01;	9.84697e-01
3.85746e-02;	1.01977e+00;	7.50162e-01;	9.11868e-01
5.53369e-02;	2.82263e-01;	8.52797e-01;	8.41532e-01
3.91586e-01;	4.68542e-01;	9.84675e-01;	9.03163e-01
1.38900e-02;	1.31027e+00;	9.60824e-01;	1.22082e+00
1.84983e+00;	1.75013e+00;	1.34889e+00;	8.96806e-01
2.08043e-01;	1.13574e+00;	1.46748e+00;	9.08043e-01
3.30234e+00;	7.13762e-01;	9.58616e-01;	9.68654e-01
6.00175e-01;	5.91858e-01;	9.54137e-01;	9.33658e-01
4.40250e-02;	4.87811e-01;	9.34194e-01;	1.06663e+00
1.42768e-01;	2.39279e+00;	9.80479e-01;	9.61872e-01
6.43682e-01;	1.81782e+00;	6.45996e-01;	8.69590e-01
2.53047e+00;	1.71505e+00;	8.45836e-01;	9.16358e-01
1.45100e+00;	1.32488e+00;	1.43534e+00;	1.02889e+00
6.76451e-01;	8.35081e-01;	7.66858e-01;	8.24194e-01
2.46118e-01;	5.10897e-01;	1.38670e+00;	1.05619e+00
4.66922e-01;	1.94449e-01;	1.09062e+00;	9.98816e-01
2.31468e+00;	1.16178e+00;	1.13662e+00;	1.02395e+00
4.02296e-01;	1.26674e+00;	7.00533e-01;	8.63070e-01
1.68773e+00;	2.55980e+00;	1.48271e+00;	1.13994e+00
7.65235e-01;	4.20223e-01;	9.48747e-01;	1.09839e+00
2.32812e+00;	3.94031e-01;	1.24112e+00;	9.35460e-01
2.06775e-01;	2.55872e-01;	1.16523e+00;	1.00593e+00
9.22300e-01;	2.98420e-01;	1.17958e+00;	7.70886e-01
1.56827e+00;	1.16502e+00;	1.21223e+00;	9.93481e-01
2.97669e-01;	5.63893e-01;	1.15684e+00;	9.17028e-01
6.42079e-01;	5.42704e-01;	8.39929e-01;	1.30905e+00
1.82273e+00;	1.63218e+00;	8.42820e-01;	1.00217e+00
8.48909e-02;	1.14206e+00;	6.67664e-01;	1.32976e+00
8.12389e-01;	6.73213e-01;	8.07831e-01;	8.31745e-01
3.87018e-01;	1.55794e+00;	1.38869e+00;	1.05224e+00
6.12437e-02;	4.02906e-01;	3.90409e-01;	1.03320e+00
3.13318e-01;	1.10775e+00;	6.10211e-01;	1.15030e+00
5.78159e-02;	1.31279e+00;	7.28288e-01;	9.27361e-01
2.09831e-01;	2.10068e+00;	1.32651e+00;	9.76442e-01
3.67610e-01;	2.79758e-01;	4.25855e-01;	8.61268e-01
1.49399e+00;	8.34114e-01;	8.09029e-01;	9.23875e-01
3.22226e-01;	9.31062e-01;	1.62671e+00;	1.06336e+00
9.77087e-01;	1.42482e+00;	9.12710e-01;	9.41720e-01
3.37852e+00;	8.95429e-01;	1.01298e+00;	1.06925e+00
1.38677e-01;	1.14552e+00;	1.08191e+00;	8.05858e-01
3.08728e-01;	6.05328e-02;	1.54746e+00;	9.21145e-01
4.25332e-01;	5.81523e-02;	1.10494e+00;	1.04582e+00
1.56425e+00;	9.66810e-01;	8.01517e-01;	1.18403e+00
5.10293e-01;	5.91521e-01;	9.51485e-01;	1.11255e+00
4.93017e-01;	2.19197e+00;	5.61588e-01;	8.86047e-01
4.13749e-01;	3.35489e+00;	1.03995e+00;	9.52112e-01
7.81259e-01;	8.57269e-01;	9.46453e-01;	9.83773e-01
1.07316e-01;	6.19418e-01;	1.23947e+00;	1.06881e+00
5.82482e-01;	7.16501e-01;	1.02150e+00;	1.09387e+00
1.41745e-01;	5.27372e-01;	1.37233e+00;	9.66169e-01
2.93933e+00;	2.13381e+00;	7.62681e-01;	9.20525e-01
1.34414e+00;	1.13542e+00;	1.85641e+00;	9.31231e-01
3.70414e-01;	2.68183e+00;	8.35713e-01;	1.04325e+00
2.99855e-01;	1.67346e+00;	9.08771e-01;	9.18602e-01
1.63828e-01;	1.27034e+00;	8.36268e-01;	9.39265e-01
5.16107e-01;	5.66899e-01;	1.10936e+00;	8.66622e-01
1.50814e+00;	1.93640e-01;	1.50406e+00;	1.05286e+00
8.42999e-01;	1.51229e+00;	1.20837e+00;	1.11362e+00
3.98284e-01;	1.55928e-01;	1.43812e+00;	8.65144e-01
2.53765e-01;	5.47254e-01;	1.19493e+00;	1.13054e+00
1.16590e-02;	1.60231e+00;	6.35854e-01;	8.91541e-01
2.44938e-01;	1.64070e+00;	1.46722e+00;	1.02051e+00
1.27547e+00;	4.21402e-01;	5.75910e-01;	1.01345e+00
7.21858e-01;	1.13130e+00;	1.04020e+00;	1.06304e+00
3.60197e-01;	1.43936e+00;	6.73986e-01;	1.00382e+00
1.45829e+00;	1.00176e+00;	8.33175e-01;	8.86269e-01
7.14384e-01;	7.98259e-01;	1.41164e+00;	9.78108e-01
4.76054e-01;	5.93828e-01;	5.98123e-01;	1.11262e+00
3.84294e-01;	1.65945e+00;	6.25585e-01;	8.80442e-01
1.16965e+00;	1.15112e+00;	1.21514e+00;	8.70362e-01
4.31757e-02;	1.83247e-01;	9.69368e-01;	1.01636e+00
1.62227e+00;	3.08447e-01;	1.36909e+00;	8.94100e-01
1.56019e+00;	5.35110e-01;	1.03281e+00;	9.40880e-01
4.92783e+00;	1.20000e+00;	8.37563e-01;	9.87134e-01
1.91529e+00;	3.11792e+00;	1.24688e+00;	1.00557e+00
1.39046e+00;	1.00088e+00;	7.56074e-01;	8.16873e-01
1.52614e+00;	1.41979e+00;	7.57873e-01;	1.22194e+00
2.04316e+00;	3.38507e+00;	6.86024e-01;	1.06283e+00
1.05552e+00;	7.99318e-01;	5.94945e-01;	1.07834e+00
2.14013e+00;	1.44494e+00;	1.40198e+00;	8.71967e-01
2.20038e+00;	1.18055e+00;	8.54021e-01;	1.10406e+00
1.50056e+00;	7.13489e-01;	1.15657e+00;	1.01347e+00
1.20319e-01;	8.99866e-01;	1.01078e+00;	1.14453e+00
2.05412e+00;	3.04844e-01;	6.63554e-01;	1.07176e+00
3.41967e-02;	3.14498e-01;	1.04401e+00;	7.89959e-01
9.24072e-01;	2.43090e+00;	5.13773e-01;	9.15650e-01
5.03914e-01;	5.60127e-01;	6.12152e-01;	1.04824e+00
1.37909e-01;	1.75059e+00;	1.39216e+00;	1.12433e+00
1.27053e+00;	4.43972e-01;	1.41745e+00;	1.02833e+00
1.16811e+00;	9.38593e-01;	1.26046e+00;	9.78177e-01
6.98822e-01;	1.60772e+00;	8.38335e-01;	1.00584e+00
6.73228e-01;	1.02835e+00;	7.42651e-01;	1.02197e+00
7.53683e-01;	1.36653e+00;	1.58650e+00;	7.80264e-01
2.14364e+00;	5.62134e-01;	1.05691e+00;	7.87007e-01
9.35848e-01;	2.14379e+00;	9.99386e-01;	1.09098e+00
1.28951e-01;	1.17010e+00;	6.53318e-01;	1.06551e+00
4.09196e+00;	6.30752e-01;	1.29054e+00;	9.71143e-01
1.67145e-01;	1.52204e+00;	9.02282e-01;	9.24969e-01
8.21881e-01;	1.13615e-01;	1.09036e+00;	1.07289e+00
1.79456e+00;	1.69733e+00;	1.35394e+00;	1.08426e+00
8.59285e-01;	5.08716e-01;	1.82910e+00;	1.08751e+00
3.50197e-01;	2.14776e+00;	1.09700e+00;	8.75016e-01
1.04290e-01;	2.07655e-01;	9.27571e-01;	9.03014e-01
2.90414e+00;	2.54218e-01;	1.51069e+00;	9.29085e-01
3.85838e-01;	4.26854e-01;	1.17421e+00;	9.97486e-01
1.36515e+00;	1.58159e+00;	8.21884e-01;	1.17171e+00
6.44478e-01;	1.22884e+00;	1.30852e+00;	9.73561e-01
3.44037e+00;	3.84297e+00;	1.49818e+00;	9.19268e-01
5.57627e-01;	2.64101e-01;	1.19252e+00;	9.98166e-01
1.25867e+00;	1.23381e+00;	9.84054e-01;	7.81622e-01
1.97813e+00;	7.73600e-01;	6.75849e-01;	8.89820e-01
3.11479e-01;	4.62025e-01;	1.09284e+00;	1.00916e+00
2.80154e-01;	5.04877e-01;	1.41085e+00;	9.78681e-01
1.35523e+00;	2.68875e+00;	9.48653e-01;	1.07319e+00
1.56145e-01;	3.34906e-01;	1.40614e+00;	8.04672e-01
5.89730e-01;	2.54424e+00;	8.28087e-01;	1.05026e+00
9.42173e-02;	2.33252e+00;	9.32186e-01;	9.77354e-01
1.95559e+00;	2.71067e-01;	1.31947e+00;	9.07709e-01
7.56661e-01;	8.30023e-01;	9.42020e-01;	1.07408e+00
2.04615e+00;	7.18179e-01;	1.09918e+00;	9.40082e-01
8.89553e-01;	7.40936e-01;	7.65718e-01;	9.69342e-01
5.70360e-01;	3.17956e-01;	9.13018e-01;	9.40974e-01
4.75397e-01;	1.34114e+00;	3.94075e-01;	9.40770e-01
5.09813e-01;	2.02686e+00;	1.19206e+00;	7.05297e-01
3.20928e-01;	9.02950e-01;	8.08679e-01;	1.14537e+00
1.95189e+00;	5.79864e-01;	1.30195e+00;	1.00281e+00
2.63625e-01;	5.62239e-02;	9.26233e-01;	1.12366e+00
2.97212e+00;	9.65335e-01;	8.40585e-01;	1.02967e+00
2.03906e+00;	1.45543e+00;	1.15785e+00;	1.13592e+00
9.67690e-01;	5.47389e-01;	8.60653e-01;	1.09310e+00
2.22055e-01;	7.04689e-01;	7.68124e-01;	8.30465e-01
3.55379e+00;	3.68932e-01;	6.97791e-01;	9.81366e-01
9.76678e-01;	1.83063e+00;	1.08967e+00;	1.01016e+00
3.13860e+00;	6.40418e-01;	5.79560e-01;	9.76887e-01
6.07190e-01;	1.57230e+00;	1.82679e+00;	8.78182e-01
2.03048e+00;	7.53946e-01;	1.22956e+00;	8.79644e-01
5.50959e-01;	3.65071e+00;	8.57293e-01;	8.89864e-01
7.68468e-02;	8.05233e-01;	1.12054e+00;	8.23448e-01
2.02855e-01;	4.94390e-01;	3.88028e-01;	1.10264e+00
7.92314e-01;	1.53155e+00;	1.47014e+00;	1.02218e+00
2.41446e-02;	1.11439e+00;	9.64046e-01;	1.05187e+00
8.66564e-01;	5.04263e-01;	3.67413e-01;	9.68336e-01
5.88557e-02;	7.45225e-01;	8.33492e-01;	1.10332e+00
3.98196e-01;	2.35891e-01;	1.29623e+00;	1.08479e+00
8.19792e-01;	1.00839e+00;	1.44652e+00;	1.02523e+00
4.56241e-01;	1.31311e+00;	1.32333e+00;	1.33690e+00
2.32519e-01;	2.63795e+00;	8.37579e-01;	9.51512e-01
1.03694e+00;	6.32841e-01;	1.07559e+00;	1.09803e+00
5.17816e-01;	5.56024e-01;	4.77936e-01;	9.89371e-01
9.26506e-01;	2.52074e-01;	6.62488e-01;	9.34743e-01
4.72854e-01;	5.08778e-01;	6.37351e-01;	9.95649e-01
2.12697e+00;	5.03449e-01;	4.71413e-01;	1.18552e+00
3.09256e-01;	1.81934e+00;	1.08727e+00;	1.03813e+00
4.03905e-01;	1.72086e-01;	1.43234e+00;	1.12781e+00
1.71634e+00;	2.01100e+00;	1.06273e+00;	1.04166e+00
6.98417e-01;	3.23092e+00;	1.13985e+00;	1.03531e+00
2.89391e+00;	8.26952e-01;	8.44695e-01;	8.59374e-01
6.18861e-01;	6.82057e-01;	1.25077e+00;	8.77730e-01
1.55941e+00;	4.14215e-01;	9.10214e-01;	8.26594e-01
1.02469e+00;	1.16938e-01;	1.47235e+00;	9.62096e-01
3.23425e-01;	1.29127e-01;	7.62107e-01;	8.92878e-01
1.37313e+00;	4.25361e-01;	9.69412e-01;	9.73705e-01
1.49305e+00;	6.89429e-01;	1.28507e+00;	1.06359e+00
5.13482e-01;	3.62013e-01;	9.20943e-01;	1.09963e+00
1.10447e-01;	7.84248e-01;	1.26557e+00;	8.81335e-01
1.94944e+00;	5.70174e-01;	1.34663e+00;	8.50435e-01
1.55222e+00;	1.46779e+00;	5.05838e-01;	8.62824e-01
1.07649e+00;	1.85422e+00;	1.47726e+00;	9.02906e-01
6.53921e-01;	1.04434e+00;	6.44207e-01;	8.22556e-01
3.60614e-01;	5.01470e-01;	1.49363e+00;	1.02484e+00
3.70713e+00;	1.17691e+00;	1.10421e+00;	9.21167e-01
9.41193e-01;	3.18707e-01;	9.70699e-01;	9.60311e-01
3.24130e-01;	9.34514e-01;	4.47305e-01;	1.08334e+00
4.40197e-01;	8.36405e-01;	8.63337e-01;	1.04080e+00
2.11454e+00;	8.92951e-01;	8.40364e-01;	1.03879e+00
2.41366e+00;	6.03325e-01;	5.74842e-01;	9.31287e-01
1.59735e+00;	1.04780e+00;	1.22810e+00;	1.06548e+00
1.97357e+00;	1.45325e+00;	1.30677e+00;	9.38723e-01
3.14890e-01;	1.47331e+00;	1.32439e+00;	8.89548e-01
5.51893e-01;	7.21417e-01;	6.39588e-01;	1.04479e+00
2.55825e-01;	4.86066e-01;	1.10476e+00;	1.05385e+00
1.82833e+00;	7.01170e-01;	1.41722e+00;	9.77038e-01
2.72200e-01;	5.94790e-01;	1.57126e+00;	1.03024e+00
1.60005e-01;	5.10862e-01;	1.56468e+00;	9.72647e-01
1.19969e+00;	7.43739e-02;	8.26841e-01;	1.08409e+00
1.19431e-01;	7.24862e-01;	1.31018e+00;	1.11461e+00
1.62154e-01;	6.35128e-01;	1.22312e+00;	1.00424e+00
3.03832e-01;	6.22902e-01;	1.30010e+00;	1.24254e+00
1.37588e+00;	1.26073e+00;	8.68733e-01;	9.33775e-01
2.97924e+00;	1.54378e+00;	1.12739e+00;	9.62779e-01
1.42586e-01;	1.89917e-01;	1.02565e+00;	1.03189e+00
3.13102e+00;	2.31144e+00;	1.05891e+00;	9.00218e-01
7.90210e-01;	1.74854e+00;	1.40622e+00;	1.04928e+00
3.42836e-01;	5.40377e-01;	1.14702e+00;	1.09057e+00
5.66074e-01;	1.79736e+00;	1.85286e+00;	1.03685e+00
5.52825e+00;	5.35643e-01;	9.45715e-01;	1.06109e+00
