Uniform_N=1;	Uniform_N=2;	Uniform_N=10;	Uniform_N=100
9.27912e-01;	7.75372e-01;	4.21041e-01;	4.97760e-01
5.95478e-01;	8.48217e-01;	5.44139e-01;	5.29216e-01
9.29393e-01;	6.50886e-01;	5.27557e-01;	4.95486e-01
6.19271e-01;	1.43186e-01;	5.26209e-01;	4.77801e-01
9.91562e-01;	7.69179e-01;	5.21276e-01;	4.65663e-01
9.82022e-01;	7.39831e-01;	4.53049e-01;	5.22778e-01
1.85243e-02;	9.70014e-01;	5.77979e-01;	5.05921e-01
5.34747e-01;	5.25423e-01;	3.88045e-01;	5.44038e-01
3.41708e-01;	9.01339e-01;	6.17047e-01;	5.09684e-01
9.31553e-01;	9.62087e-01;	5.29905e-01;	5.14563e-01
6.95881e-01;	3.21513e-01;	5.18385e-01;	5.30572e-01
2.33403e-01;	1.46198e-01;	3.81454e-01;	4.84403e-01
8.69726e-02;	5.10320e-01;	5.02268e-01;	5.36107e-01
7.92836e-01;	5.57453e-01;	3.20156e-01;	5.15151e-01
7.81389e-01;	5.49931e-01;	6.66556e-01;	5.14773e-01
7.45836e-01;	4.48903e-01;	4.54289e-01;	5.06102e-01
7.32698e-02;	9.57204e-01;	4.18523e-01;	5.49054e-01
5.24844e-01;	5.42525e-01;	2.79576e-01;	5.13391e-01
4.26336e-01;	8.10553e-01;	5.17175e-01;	5.04136e-01
2.77672e-01;	2.39534e-01;	6.09215e-01;	4.77019e-01
5.31217e-01;	5.41628e-01;	7.20224e-01;	5.15519e-01
5.74995e-01;	5.71779e-01;	6.83019e-01;	5.02656e-01
1.90424e-01;	7.04074e-01;	5.89407e-01;	5.20145e-01
3.52952e-01;	3.30448e-01;	3.26338e-01;	5.11029e-01
8.98471e-01;	5.88869e-01;	4.84161e-01;	4.56829e-01
5.02516e-01;	4.53358e-01;	4.73949e-01;	4.88966e-01
3.74603e-01;	3.50490e-01;	6.51275e-01;	4.56417e-01
8.71049e-01;	2.99641e-01;	4.26146e-01;	4.89026e-01
1.14214e-01;	3.58125e-01;	3.59372e-01;	4.79979e-01
5.32060e-01;	7.80097e-01;	5.86680e-01;	4.88188e-01
2.96509e-01;	2.06513e-01;	4.91149e-01;	5.05126e-01
7.37075e-01;	3.04779e-01;	5.33003e-01;	5.73408e-01
8.34267e-01;	4.59704e-01;	4.84271e-01;	4.52020e-01
9.60569e-01;	3.79555e-01;	3.28181e-01;	4.69124e-01
5.35269e-01;	5.83574e-01;	4.81567e-01;	4.73522e-01
3.79641e-01;	3.50000e-01;	4.78938e-01;	4.88375e-01
4.77972e-01;	5.61934e-01;	5.30973e-01;	5.22558e-01
8.64992e-01;	3.87725e-01;	4.89103e-01;	5.05550e-01
8.59853e-01;	4.86770e-01;	5.28069e-01;	5.10453e-01
9.79922e-01;	7.47195e-01;	5.41453e-01;	4.73258e-01
2.31482e-01;	6.49139e-01;	5.09874e-01;	4.52470e-01
1.72585e-01;	3.52306e-01;	5.73120e-01;	4.98571e-01
5.76495e-01;	3.69681e-01;	4.72870e-01;	4.54809e-01
1.70399e-01;	7.38326e-01;	4.52303e-01;	4.77948e-01
7.54678e-01;	4.79587e-01;	4.06675e-01;	5.57378e-01
6.80520e-02;	2.75164e-01;	5.60771e-01;	5.19018e-01
8.40916e-01;	6.74089e-01;	4.74496e-01;	5.02099e-01
5.45208e-01;	4.09896e-01;	4.24170e-01;	5.27623e-01
7.47497e-01;	8.93802e-01;	6.42407e-01;	4.36323e-01
5.38059e-01;	3.74832e-01;	4.92317e-01;	5.08500e-01
5.04136e-01;	7.73125e-01;	4.41984e-01;	5.39561e-01
9.37428e-01;	2.55968e-01;	3.58537e-01;	5.19982e-01
3.21740e-01;	1.33782e-01;	6.45375e-01;	5.40777e-01
1.15090e-01;	6.15851e-01;	3.59833e-01;	4.70078e-01
1.88998e-01;	5.24433e-01;	4.85506e-01;	4.99506e-01
9.90874e-02;	7.15896e-01;	4.23338e-01;	4.46372e-01
6.10917e-01;	4.34269e-01;	4.90677e-01;	4.65485e-01
5.06951e-01;	3.02377e-01;	4.00397e-01;	5.00858e-01
3.89592e-01;	6.17445e-01;	4.61260e-01;	4.87542e-01
3.60500e-01;	4.73067e-01;	3.87872e-01;	4.95301e-01
7.66477e-01;	1.08036e-01;	5.73738e-01;	4.87187e-01
6.19505e-01;	4.21007e-01;	5.00929e-01;	5.27036e-01
7.77533e-01;	5.04036e-01;	5.31742e-01;	4.77245e-01
8.96328e-01;	5.60259e-01;	6.02471e-01;	4.51947e-01
6.85943e-01;	6.25017e-01;	5.02437e-01;	5.23752e-01
7.38567e-01;	1.57166e-01;	5.44543e-01;	5.17568e-01
8.86441e-01;	3.60492e-01;	5.15158e-01;	4.73214e-01
3.92431e-01;	2.46619e-01;	6.01189e-01;	4.92288e-01
9.67646e-01;	4.24734e-01;	5.68780e-01;	4.96245e-01
4.78942e-01;	3.77903e-01;	3.94346e-01;	5.58644e-01
6.96494e-01;	8.54072e-01;	5.29195e-01;	5.45587e-01
8.52159e-01;	2.14472e-01;	4.39867e-01;	4.59464e-01
8.77415e-01;	2.34704e-01;	4.33782e-01;	4.88716e-01
8.68825e-02;	7.11445e-01;	4.31952e-01;	5.12955e-01
9.09505e-02;	2.80427e-01;	5.01724e-01;	5.13518e-01
8.21656e-01;	6.67195e-01;	4.74003e-01;	4.79762e-01
9.52897e-01;	5.14070e-01;	3.54207e-01;	5.01563e-01
2.56003e-01;	5.62725e-01;	4.15811e-01;	4.73384e-01
9.11111e-01;	3.86826e-01;	4.68797e-01;	5.13098e-01
9.25596e-01;	8.00896e-01;	5.08358e-01;	5.25329e-01
3.88187e-01;	5.08428e-01;	5.10320e-01;	4.87940e-01
6.50886e-01;	4.49101e-01;	5.32215e-01;	5.00639e-01
5.69184e-01;	5.76488e-01;	4.40533e-01;	5.34306e-01
9.18387e-01;	6.43658e-01;	5.52978e-01;	5.22162e-01
8.80747e-01;	6.83437e-01;	5.60486e-01;	5.50495e-01
5.98987e-01;	4.49067e-01;	4.75766e-01;	5.21490e-01
5.32459e-01;	5.64508e-01;	4.07710e-01;	4.97034e-01
7.58375e-01;	8.00279e-01;	6.00652e-01;	4.99238e-01
2.48684e-01;	5.83156e-01;	5.39852e-01;	5.06318e-01
8.75204e-02;	4.18657e-01;	6.74666e-01;	4.94072e-01
7.84498e-02;	4.76721e-01;	4.93079e-01;	5.10633e-01
9.47388e-01;	8.83812e-01;	5.63558e-01;	5.14615e-01
1.22599e-01;	7.03841e-01;	6.11911e-01;	5.18121e-01
3.71909e-01;	5.97894e-01;	4.90615e-01;	5.37285e-01
6.19281e-01;	5.87636e-01;	7.16241e-01;	5.24966e-01
6.44526e-01;	1.76467e-01;	3.99427e-01;	4.96137e-01
3.84217e-01;	2.42044e-01;	5.37095e-01;	4.72930e-01
6.56268e-01;	5.17814e-01;	5.56829e-01;	5.02905e-01
6.53459e-01;	3.08083e-01;	3.21213e-01;	4.91316e-01
1.17497e-01;	7.12510e-01;	5.09680e-01;	4.79732e-01
9.84765e-01;	7.11949e-01;	3.92191e-01;	4.77611e-01
8.40781e-01;	5.04710e-01;	4.16989e-01;	4.94849e-01
5.41744e-01;	7.70697e-01;	3.81332e-01;	4.63731e-01
8.48953e-01;	4.48491e-01;	5.56140e-01;	5.61466e-01
2.68811e-01;	2.62881e-01;	6.96736e-01;	4.72127e-01
4.84304e-02;	4.02047e-01;	4.01214e-01;	5.45326e-01
3.07609e-01;	2.22679e-01;	6.03694e-01;	5.28294e-01
1.37623e-01;	4.77341e-01;	3.33825e-01;	4.27153e-01
1.12448e-01;	5.83403e-01;	4.03398e-01;	5.03004e-01
2.53387e-01;	2.94465e-01;	5.93684e-01;	5.00538e-01
4.86667e-01;	4.08586e-01;	5.49605e-01;	4.79446e-01
4.92457e-02;	4.11330e-01;	4.32415e-01;	4.94688e-01
9.35030e-01;	7.60464e-01;	7.01925e-01;	5.34950e-01
9.50618e-01;	4.87097e-01;	4.43755e-01;	4.99482e-01
6.17402e-01;	8.87109e-01;	5.00501e-01;	5.46477e-01
9.61072e-01;	7.25619e-01;	6.58068e-01;	4.91116e-01
5.70487e-02;	2.65080e-01;	4.71347e-01;	5.19364e-01
4.52484e-01;	7.94603e-01;	3.44522e-01;	5.01308e-01
6.70069e-01;	6.38088e-01;	6.49977e-01;	4.64997e-01
2.43320e-01;	2.02745e-01;	6.72655e-01;	4.22870e-01
7.67457e-01;	4.42184e-01;	4.81046e-01;	4.43441e-01
5.00960e-01;	4.17550e-01;	5.08349e-01;	5.15050e-01
9.13087e-01;	4.30237e-01;	4.99033e-01;	5.29955e-01
5.24670e-01;	3.94977e-01;	4.04073e-01;	5.20518e-01
8.65146e-01;	7.60999e-01;	6.63819e-01;	4.89183e-01
7.77635e-01;	4.81482e-01;	5.28970e-01;	4.48289e-01
2.46726e-01;	4.74453e-01;	4.67903e-01;	3.89045e-01
8.46330e-01;	5.34658e-01;	6.16431e-01;	5.17756e-01
1.03219e-01;	5.90694e-01;	5.26440e-01;	5.01775e-01
3.18034e-01;	4.01054e-01;	4.17972e-01;	5.49027e-01
6.91172e-01;	3.07928e-01;	2.95917e-01;	4.45571e-01
3.26230e-01;	4.43469e-01;	3.92369e-01;	5.30165e-01
8.61933e-01;	5.48598e-01;	4.76276e-01;	4.72780e-01
4.38592e-01;	3.85269e-01;	4.85967e-01;	5.00519e-01
7.67751e-01;	2.53915e-01;	3.50301e-01;	5.13281e-01
8.93673e-01;	1.53652e-01;	3.23981e-01;	5.06538e-01
1.96128e-01;	3.57015e-01;	6.64485e-01;	5.04559e-01
6.16474e-01;	4.60031e-01;	5.14001e-01;	4.87733e-01
1.94568e-01;	4.81633e-01;	5.62609e-01;	5.45020e-01
5.33552e-01;	6.53684e-01;	4.48561e-01;	4.81130e-01
5.38623e-02;	6.59164e-01;	6.03006e-01;	5.04390e-01
7.83376e-01;	2.53210e-01;	3.99961e-01;	5.04205e-01
3.36030e-01;	6.38750e-01;	5.02293e-01;	4.92284e-01
2.72737e-01;	4.66264e-01;	3.78054e-01;	4.88191e-01
5.71726e-01;	5.91993e-01;	6.17261e-01;	4.94057e-01
6.97493e-02;	4.30130e-01;	5.01436e-01;	4.80030e-01
8.73659e-01;	9.20921e-01;	3.12559e-01;	4.81806e-01
9.80242e-01;	7.78954e-01;	4.96482e-01;	5.22348e-01
7.64687e-01;	4.88192e-01;	3.49938e-01;	4.64516e-01
4.36961e-01;	6.11068e-01;	4.26805e-01;	4.98368e-01
3.45700e-01;	1.42286e-01;	5.93880e-01;	5.53016e-01
7.24439e-01;	7.60829e-01;	4.40128e-01;	5.14025e-01
2.08712e-01;	4.63542e-01;	4.21779e-01;	4.94490e-01
5.39522e-01;	4.36968e-01;	4.08813e-01;	5.24704e-01
6.46714e-01;	4.28395e-01;	3.32216e-01;	5.29527e-01
8.78240e-01;	2.58349e-01;	3.95633e-01;	4.74807e-01
2.46053e-01;	1.08518e-01;	5.58630e-01;	4.73031e-01
1.51676e-01;	3.27328e-01;	5.50712e-01;	4.98176e-01
8.65647e-01;	3.07039e-01;	6.26739e-01;	5.38645e-01
9.86428e-01;	7.87372e-02;	4.78918e-01;	4.82766e-01
3.27953e-01;	5.01635e-01;	4.73560e-01;	5.22989e-01
5.62547e-01;	6.10094e-01;	3.47702e-01;	5.27924e-01
5.20602e-01;	1.48684e-01;	6.57677e-01;	5.23134e-01
3.64063e-01;	4.10727e-01;	5.82604e-01;	5.13896e-01
6.82464e-02;	4.41066e-01;	4.99203e-01;	4.86421e-01
3.88187e-01;	8.74641e-01;	4.02083e-01;	5.02747e-01
3.38367e-01;	7.19936e-01;	5.18328e-01;	5.24012e-01
8.93197e-01;	5.34050e-01;	5.53898e-01;	5.27235e-01
8.53458e-01;	4.82559e-01;	4.37097e-01;	4.93167e-01
5.70008e-01;	4.45401e-01;	3.77758e-01;	4.74693e-01
2.12867e-01;	3.61466e-01;	4.73329e-01;	5.04949e-01
9.53757e-02;	8.26725e-01;	5.03518e-01;	5.04714e-01
9.86473e-02;	5.95121e-01;	3.53320e-01;	4.96480e-01
1.36157e-01;	1.97793e-01;	3.49607e-01;	5.84680e-01
3.14331e-01;	4.74360e-01;	4.42550e-01;	5.17760e-01
5.04228e-01;	2.51522e-01;	5.26422e-01;	4.71389e-01
8.30418e-01;	2.08442e-01;	4.16558e-01;	5.18680e-01
2.10697e-01;	5.04615e-01;	5.29427e-01;	5.81123e-01
9.33801e-01;	7.71812e-01;	4.78358e-01;	5.42392e-01
2.66199e-02;	6.11143e-01;	4.76867e-01;	4.79336e-01
8.14906e-01;	5.22026e-01;	3.46525e-01;	5.26647e-01
2.86409e-01;	4.37356e-01;	4.88644e-01;	5.04032e-01
4.28346e-01;	4.89548e-01;	4.23225e-01;	5.18768e-01
3.99613e-01;	5.89163e-01;	4.85883e-01;	4.63231e-01
2.43604e-01;	2.57628e-01;	4.05832e-01;	5.40579e-01
8.58421e-01;	5.42779e-01;	6.07439e-01;	5.22386e-01
4.42201e-01;	4.99354e-01;	5.11528e-01;	4.94518e-01
2.17021e-01;	6.86788e-01;	4.03473e-01;	5.44268e-01
5.76796e-01;	8.33271e-01;	6.02609e-01;	4.86112e-01
9.81657e-01;	7.23009e-01;	4.81459e-01;	5.19918e-01
7.48207e-01;	7.73642e-01;	5.08672e-01;	4.92190e-01
1.63490e-01;	4.32572e-01;	4.18165e-01;	5.00788e-01
7.75137e-01;	6.75990e-01;	4.37814e-01;	5.23624e-01
4.05496e-01;	1.82036e-01;	4.94384e-01;	4.74126e-01
8.81126e-01;	8.31127e-01;	4.44167e-01;	4.89639e-01
6.14245e-02;	5.54432e-01;	6.42635e-01;	5.30544e-01
2.95168e-01;	7.15951e-01;	4.80884e-01;	4.80697e-01
8.00598e-01;	3.40358e-01;	5.63516e-01;	5.18411e-01
9.87304e-01;	7.67476e-01;	4.62737e-01;	5.43079e-01
7.68975e-01;	5.94377e-01;	5.08512e-01;	4.75090e-01
7.38176e-02;	3.48805e-01;	5.28621e-01;	5.23169e-01
7.78192e-01;	4.02329e-01;	3.94710e-01;	4.83104e-01
7.29997e-01;	5.41167e-01;	6.45830e-01;	5.06424e-01
6.84014e-01;	7.12126e-01;	4.00877e-01;	5.08113e-01
6.88367e-01;	3.35610e-01;	3.20585e-01;	5.13451e-01
3.70407e-01;	2.89929e-01;	4.13592e-01;	4.95854e-01
8.71620e-01;	3.31974e-01;	2.89603e-01;	4.73196e-01
8.41275e-02;	7.23185e-01;	3.60764e-01;	5.05811e-01
7.89347e-02;	4.37339e-01;	4.63186e-01;	5.25623e-01
2.56455e-01;	3.96995e-01;	4.05596e-01;	5.25807e-01
4.76989e-01;	1.93246e-01;	4.96639e-01;	4.96072e-01
3.97062e-01;	3.70717e-01;	4.32054e-01;	4.80427e-01
5.93382e-03;	4.48514e-01;	4.54863e-01;	4.86774e-01
5.53867e-02;	5.96867e-01;	4.94090e-01;	5.42176e-01
1.87935e-01;	7.42785e-01;	4.66802e-01;	5.09301e-01
3.68638e-02;	1.22567e-01;	6.29775e-01;	5.11922e-01
8.49661e-01;	2.83844e-01;	4.94473e-01;	5.01883e-01
6.39232e-01;	7.43574e-01;	4.72245e-01;	5.21732e-01
3.20742e-01;	3.31424e-01;	5.64815e-01;	5.03279e-01
1.01490e-01;	1.60994e-01;	5.24907e-01;	5.44298e-01
7.26375e-01;	1.52430e-01;	3.70121e-01;	5.21822e-01
7.34786e-01;	6.94695e-01;	6.01523e-01;	4.69292e-01
7.13857e-01;	2.31619e-01;	4.92817e-01;	4.98848e-01
1.07569e-01;	5.01674e-01;	5.03644e-01;	4.81456e-01
1.96851e-01;	5.83169e-01;	5.29347e-01;	4.94562e-01
5.68205e-01;	3.67491e-01;	3.81238e-01;	4.91011e-01
3.52981e-01;	3.26342e-01;	5.87497e-01;	5.08879e-01
2.93126e-01;	2.11507e-01;	4.56517e-01;	4.64379e-01
3.00217e-01;	2.87027e-01;	5.74749e-01;	4.59823e-01
3.60511e-01;	2.96337e-01;	6.25710e-01;	4.85102e-01
3.41616e-01;	6.64453e-01;	4.62755e-01;	5.01663e-01
7.61537e-01;	4.25199e-01;	4.37254e-01;	4.91189e-01
1.97250e-01;	3.88744e-01;	4.49883e-01;	4.66245e-01
9.06721e-01;	4.28614e-01;	6.66670e-01;	4.74021e-01
2.53727e-01;	3.83499e-01;	4.87397e-01;	5.37214e-01
9.38122e-01;	2.84656e-01;	5.17436e-01;	5.60783e-01
5.11534e-01;	4.52030e-01;	5.04560e-01;	4.53865e-01
9.75710e-01;	3.80474e-01;	4.99865e-01;	5.14098e-01
2.56420e-01;	3.72635e-01;	4.67557e-01;	5.43879e-01
1.89213e-01;	1.01463e-01;	7.28458e-01;	5.08754e-01
3.90849e-01;	6.65211e-01;	5.69719e-01;	5.17377e-01
9.67189e-01;	5.38044e-01;	5.49910e-01;	5.43590e-01
5.48357e-01;	8.33001e-01;	4.27459e-01;	4.76420e-01
8.93163e-01;	5.92296e-01;	6.66638e-01;	5.02617e-01
4.70580e-01;	9.43296e-01;	6.30530e-01;	4.28612e-01
1.77922e-01;	7.61107e-01;	5.32297e-01;	5.21051e-01
1.64649e-02;	9.53629e-01;	4.69263e-01;	5.22991e-01
2.90587e-01;	6.43519e-01;	6.43077e-01;	5.26443e-01
1.20297e-01;	1.19517e-01;	5.50808e-01;	5.08838e-01
5.89213e-01;	6.14816e-01;	6.04888e-01;	5.58382e-01
9.30840e-01;	3.08592e-01;	4.50137e-01;	5.09987e-01
7.70650e-01;	4.70638e-01;	6.51748e-01;	4.89394e-01
6.27116e-01;	6.14028e-01;	4.47737e-01;	4.99293e-01
6.25735e-01;	6.73084e-01;	4.44083e-01;	4.94708e-01
8.05537e-01;	5.33978e-01;	5.36885e-01;	4.90630e-01
2.20928e-01;	5.59263e-01;	5.34741e-01;	5.07644e-01
6.70000e-02;	4.36818e-01;	5.06714e-01;	5.25633e-01
5.92191e-01;	2.19563e-01;	5.36925e-01;	4.88997e-01
5.00635e-02;	2.87019e-01;	3.67515e-01;	4.93109e-01
1.86183e-01;	7.77877e-01;	4.32378e-01;	4.76534e-01
5.08468e-01;	7.50342e-01;	5.12645e-01;	5.30262e-01
1.15630e-01;	3.96165e-01;	3.95639e-01;	4.93914e-01
9.90478e-01;	5.37807e-01;	4.34455e-01;	4.82227e-01
8.43102e-03;	4.72614e-01;	5.70430e-01;	5.43610e-01
5.71740e-01;	3.17051e-01;	5.94387e-01;	4.94551e-01
9.60111e-01;	3.54513e-01;	6.84227e-01;	4.66316e-01
4.86242e-01;	6.97085e-01;	3.62958e-01;	5.27477e-01
1.75270e-01;	6.86518e-01;	4.71726e-01;	4.90354e-01
1.38314e-01;	5.07470e-01;	5.59192e-01;	4.97272e-01
9.95908e-01;	6.55053e-01;	4.68720e-01;	4.79035e-01
4.14596e-01;	4.29978e-01;	5.34861e-01;	4.90479e-01
7.60177e-01;	4.48940e-01;	4.62428e-01;	4.59946e-01
7.98342e-01;	8.52592e-01;	5.47134e-01;	4.50044e-01
2.62770e-01;	4.96542e-01;	5.97218e-01;	4.84567e-01
4.11976e-01;	9.21037e-01;	3.34557e-01;	5.33359e-01
2.28302e-01;	4.76013e-01;	4.13941e-01;	4.52194e-01
2.81640e-01;	2.84880e-01;	6.62394e-01;	5.86573e-01
2.37347e-01;	8.72659e-01;	4.78967e-01;	4.47017e-01
5.94441e-01;	2.03812e-01;	4.90115e-01;	5.02109e-01
7.91204e-01;	2.93991e-01;	6.22239e-01;	4.78939e-01
2.07127e-01;	3.06944e-01;	4.27256e-01;	5.48981e-01
2.76577e-01;	5.32359e-01;	7.22029e-01;	5.39575e-01
6.37602e-01;	4.99170e-01;	5.55150e-01;	5.07929e-01
8.67424e-01;	4.89878e-01;	6.42113e-01;	5.10520e-01
7.88280e-01;	6.25645e-01;	4.31481e-01;	4.87797e-01
3.45463e-01;	3.18728e-01;	5.27726e-01;	4.68910e-01
1.61202e-01;	5.59037e-01;	5.20715e-01;	5.35124e-01
6.42313e-01;	8.16696e-01;	4.91862e-01;	5.05570e-01
1.50590e-01;	7.48897e-01;	3.77641e-01;	4.96348e-01
5.39667e-01;	2.92222e-01;	5.10518e-01;	5.05606e-01
3.83062e-01;	2.11882e-01;	4.43222e-01;	5.03984e-01
9.76081e-01;	6.05079e-01;	6.14064e-01;	4.94087e-01
3.71869e-01;	8.07428e-01;	6.02854e-01;	5.26538e-01
4.76985e-01;	2.85762e-01;	5.60441e-01;	5.14124e-01
4.99291e-01;	2.66442e-01;	5.93811e-01;	4.86400e-01
3.95605e-01;	7.92274e-01;	6.72663e-01;	5.01752e-01
6.86946e-01;	7.66187e-01;	4.27365e-01;	4.90364e-01
6.59944e-01;	5.30950e-01;	5.00305e-01;	4.62212e-01
1.98596e-01;	9.51617e-01;	4.33530e-01;	4.63350e-01
1.91573e-01;	3.70048e-01;	5.00493e-01;	5.48439e-01
1.63043e-01;	7.49455e-01;	6.66423e-01;	5.56428e-01
6.13390e-01;	6.39065e-01;	4.82517e-01;	5.36177e-01
5.83526e-01;	6.41453e-01;	4.41905e-01;	5.07091e-01
9.52620e-01;	7.33200e-01;	4.61925e-01;	4.75086e-01
9.27890e-01;	1.27169e-01;	5.57128e-01;	4.96886e-01
5.91239e-01;	4.82330e-01;	3.54399e-01;	5.05421e-01
9.74133e-01;	9.10484e-01;	4.05835e-01;	4.74415e-01
5.83120e-01;	4.01306e-01;	4.02338e-01;	4.92270e-01
3.15119e-01;	1.91913e-01;	4.97191e-01;	4.89403e-01
4.47074e-01;	4.27537e-01;	2.92176e-01;	5.00153e-01
5.02635e-01;	3.49678e-01;	3.30846e-01;	5.16022e-01
8.26879e-03;	5.71668e-01;	6.22011e-01;	5.05111e-01
3.95108e-01;	7.78563e-01;	5.56148e-01;	4.79398e-01
8.01690e-01;	5.15344e-01;	4.21086e-01;	5.05617e-01
9.32343e-01;	5.97564e-01;	5.74630e-01;	5.03398e-01
5.62503e-01;	6.87250e-01;	4.01597e-01;	5.19358e-01
8.17485e-01;	3.11223e-01;	5.77195e-01;	4.66782e-01
7.50971e-01;	7.06719e-01;	6.23367e-01;	5.12559e-01
8.06520e-02;	4.43214e-01;	5.17925e-01;	4.98850e-01
3.34658e-01;	4.78281e-01;	6.46899e-01;	5.21770e-01
9.55812e-01;	4.61881e-01;	5.02907e-01;	4.82266e-01
2.79982e-01;	4.48034e-01;	5.70837e-01;	4.57401e-01
8.92887e-01;	5.63248e-01;	4.62320e-01;	5.64117e-01
5.11473e-01;	1.31245e-01;	5.02160e-01;	4.86028e-01
4.86364e-01;	5.16654e-01;	3.81243e-01;	4.72675e-01
4.30171e-01;	3.15414e-01;	5.50431e-01;	5.19735e-01
3.69089e-01;	7.72988e-02;	6.47889e-01;	4.93491e-01
6.82224e-01;	7.87794e-01;	4.55711e-01;	5.27527e-01
9.40736e-01;	5.00642e-01;	5.77931e-01;	5.11352e-01
6.59032e-01;	7.27101e-01;	5.88095e-01;	5.44686e-01
9.25473e-01;	4.46191e-01;	4.72803e-01;	4.81166e-01
9.59740e-01;	4.74793e-01;	5.44570e-01;	5.03312e-01
8.54559e-01;	6.30823e-01;	5.63118e-01;	4.85139e-01
1.94319e-01;	5.62064e-01;	4.89797e-01;	5.51444e-01
5.81594e-01;	2.82673e-01;	6.16735e-01;	5.29903e-01
1.11473e-01;	3.73821e-01;	3.32696e-01;	5.06263e-01
1.87529e-02;	4.55040e-01;	5.67561e-01;	4.97502e-01
3.83219e-01;	4.58731e-01;	4.41895e-01;	4.77296e-01
7.76923e-01;	5.71762e-01;	4.51963e-01;	5.36581e-01
3.09442e-01;	1.75087e-01;	5.30971e-01;	4.77172e-01
3.71261e-01;	4.88597e-01;	5.17239e-01;	4.59424e-01
8.42304e-01;	6.16904e-01;	4.42579e-01;	5.21742e-01
2.79150e-01;	4.69812e-01;	2.90177e-01;	4.95014e-01
8.86995e-01;	8.10537e-01;	5.47957e-01;	4.98848e-01
3.10483e-01;	3.60250e-01;	5.43455e-01;	4.84811e-01
8.04215e-01;	6.78469e-01;	6.30354e-01;	5.03229e-01
1.62509e-01;	8.19172e-01;	3.66105e-01;	5.30222e-01
7.66187e-02;	3.69922e-01;	3.73828e-01;	4.79415e-01
9.49946e-01;	6.95995e-01;	3.04031e-01;	4.91536e-01
5.16000e-01;	3.70760e-01;	5.55542e-01;	4.99684e-01
2.87681e-01;	5.16939e-01;	4.95700e-01;	4.71234e-01
1.96235e-01;	7.80460e-01;	5.33082e-01;	4.96956e-01
6.89484e-02;	6.59091e-01;	5.03349e-01;	5.06976e-01
3.61994e-01;	2.75284e-01;	3.90170e-01;	5.13797e-01
1.54417e-01;	3.37701e-01;	6.48885e-01;	5.29256e-01
4.07319e-01;	2.46454e-01;	5.84383e-01;	4.86096e-01
4.66835e-01;	8.72684e-01;	6.15540e-01;	4.79267e-01
9.57533e-01;	6.11186e-01;	4.36494e-01;	5.27902e-01
9.41266e-01;	3.44546e-01;	3.14157e-01;	5.09625e-01
8.98921e-01;	4.33525e-01;	5.50660e-01;	5.63431e-01
3.85412e-02;	7.09284e-01;	5.34376e-01;	4.41464e-01
5.91534e-01;	6.37346e-01;	4.83368e-01;	5.06756e-01
4.80261e-01;	4.30764e-01;	5.61837e-01;	4.72285e-01
2.25580e-01;	9.38958e-01;	4.44113e-01;	4.99467e-01
3.14339e-01;	6.58723e-01;	5.21117e-01;	4.71740e-01
7.94797e-01;	5.81510e-01;	5.43759e-01;	4.57558e-01
7.92993e-01;	3.04895e-01;	4.78898e-01;	4.96483e-01
2.68866e-01;	7.73748e-01;	4.86512e-01;	4.89240e-01
3.24283e-01;	3.90108e-01;	4.11030e-01;	5.02626e-01
5.92256e-01;	8.64359e-01;	5.19612e-01;	4.65554e-01
5.62150e-01;	5.39820e-01;	4.83119e-01;	4.78813e-01
7.82630e-01;	5.14287e-01;	5.54829e-01;	5.23725e-01
5.53396e-01;	5.98211e-01;	4.71271e-01;	4.77420e-01
1.82678e-01;	3.28174e-01;	4.77977e-01;	4.93635e-01
9.21806e-01;	5.15797e-01;	4.47433e-01;	5.14739e-01
2.58235e-01;	6.45855e-01;	5.08326e-01;	4.93741e-01
2.61540e-01;	3.52740e-01;	3.65638e-01;	5.21279e-01
8.06190e-01;	2.93634e-01;	6.43499e-01;	5.20763e-01
5.81905e-01;	2.48411e-01;	5.83623e-01;	5.14913e-01
6.01262e-01;	6.62343e-01;	5.40393e-01;	5.14026e-01
5.85520e-01;	7.19555e-01;	5.51063e-01;	5.24462e-01
7.42665e-01;	2.06605e-01;	5.38076e-01;	5.35012e-01
3.87534e-01;	4.43694e-01;	3.42689e-01;	4.59220e-01
1.95229e-01;	5.15367e-01;	4.74204e-01;	5.46736e-01
3.72077e-01;	3.53141e-01;	4.69993e-01;	5.09712e-01
4.72382e-01;	6.14457e-01;	5.12360e-01;	5.02756e-01
7.50564e-01;	5.89897e-01;	5.69157e-01;	5.11097e-01
8.46457e-01;	3.92465e-01;	6.75359e-01;	5.02484e-01
5.79850e-01;	2.14077e-01;	4.62723e-01;	5.06164e-01
6.71280e-01;	5.05709e-01;	5.61840e-01;	5.29228e-01
2.47613e-01;	5.91901e-01;	5.67920e-01;	5.17500e-01
1.94936e-02;	4.81713e-01;	3.39489e-01;	5.37492e-01
2.55241e-02;	8.75849e-01;	3.42574e-01;	4.77455e-01
9.58999e-01;	4.97611e-01;	4.11158e-01;	5.42634e-01
2.90445e-01;	6.80746e-01;	6.61892e-01;	5.28567e-01
2.92966e-03;	3.45233e-01;	3.43213e-01;	5.34046e-01
1.42458e-01;	5.71738e-01;	5.80417e-01;	4.68186e-01
1.27967e-01;	8.65906e-01;	5.55118e-01;	4.72304e-01
